caseid,lengua_materna,tipo_residencia,educacion_anios_simples,miembros_hogar,indice_de_riqueza,edad_primer_nacimiento,d104,d106,d107,d108,indice_violencia
      326410401  2,4,2.0,10,6,1.0,20.0,0,0,0,0,0
      326410501  2,4,2.0,6,7,1.0,13.0,0,0,0,0,0
      326410501  3,4,2.0,6,7,1.0,,0,0,0,0,0
      326410801  2,4,2.0,11,4,1.0,18.0,0,1,0,0,1
      326412001  2,4,2.0,1,5,1.0,17.0,0,0,0,0,0
      326412001  4,4,2.0,7,5,1.0,,0,0,0,0,0
      326412501  1,4,2.0,7,3,1.0,18.0,0,1,0,0,1
      326412601  2,4,2.0,9,3,1.0,16.0,0,0,0,0,0
      326412701  2,4,2.0,0,7,1.0,14.0,1,0,0,0,1
      326412701  3,4,2.0,10,7,1.0,,0,0,0,0,0
      326412801  1,4,2.0,3,6,1.0,18.0,0,0,0,0,0
      326500801  2,4,2.0,6,7,1.0,17.0,0,0,0,0,0
      326500901  2,4,2.0,6,4,1.0,14.0,0,0,0,0,0
      326501601  3,4,2.0,11,7,1.0,,0,0,0,0,0
      326501601  4,4,2.0,6,7,1.0,,0,0,0,0,0
      326501601  5,4,2.0,11,7,1.0,17.0,1,0,0,0,1
      326508901  1,4,2.0,8,3,1.0,19.0,0,0,0,0,0
      326509201  2,4,2.0,4,7,1.0,17.0,0,0,0,0,0
      326509201  3,4,2.0,9,7,1.0,,0,0,0,0,0
      326513301  2,4,2.0,6,4,1.0,18.0,0,0,0,0,0
      326513401  2,4,2.0,6,4,1.0,16.0,0,0,0,0,0
      326513601  2,4,2.0,6,6,1.0,22.0,0,0,0,0,0
      326513601  4,4,2.0,11,6,1.0,18.0,0,0,0,0,0
      326601501  1,10,2.0,10,2,1.0,18.0,1,0,0,0,1
      326601601  2,10,2.0,4,5,1.0,17.0,0,0,0,0,0
      326601701  2,10,2.0,8,4,1.0,18.0,0,0,0,0,0
      326602001  1,10,2.0,3,3,1.0,22.0,0,0,0,0,0
      326602001  2,10,2.0,6,3,1.0,,0,0,0,0,0
      326603101  1,10,2.0,11,3,1.0,20.0,0,0,0,0,0
      326603301  2,10,2.0,11,3,1.0,,0,0,0,0,0
      326603501  2,10,2.0,12,3,1.0,20.0,0,0,0,0,0
      326614601  1,10,2.0,4,4,1.0,14.0,0,0,0,0,0
      326614601  2,10,2.0,7,4,1.0,23.0,0,0,0,0,0
      326614801  2,10,2.0,14,5,2.0,22.0,0,0,0,0,0
      326702101  3,10,2.0,11,4,1.0,19.0,0,0,0,0,0
      326702201  2,10,2.0,7,3,1.0,14.0,0,0,0,0,0
      326702201  3,10,2.0,6,3,1.0,,0,0,0,0,0
      326702701  2,10,2.0,6,3,1.0,16.0,0,1,1,0,2
      326705301  5,10,2.0,11,6,1.0,,0,0,0,0,0
      326705501  2,10,2.0,10,4,1.0,21.0,1,0,0,0,1
      326706301  3,10,2.0,16,3,1.0,17.0,0,0,0,0,0
      326706901  3,10,2.0,11,4,1.0,20.0,0,0,0,0,0
      326707001  2,10,2.0,7,3,1.0,19.0,0,0,0,0,0
      326707001  3,10,2.0,6,3,1.0,,0,0,0,0,0
      326802101  4,10,2.0,7,4,1.0,,0,0,0,0,0
      326802301  2,10,2.0,2,4,1.0,15.0,0,1,0,0,1
      326802401  2,10,2.0,2,8,1.0,19.0,0,0,0,0,0
      326802401  3,10,2.0,11,8,1.0,,0,0,0,0,0
      326803201  2,10,2.0,7,2,1.0,,0,0,0,0,0
      326803301  2,10,2.0,3,3,1.0,29.0,0,0,0,0,0
      326803401  2,10,2.0,4,6,1.0,16.0,0,0,0,0,0
      326803401  3,10,2.0,7,6,1.0,,0,0,0,0,0
      326803901  2,10,2.0,10,6,1.0,18.0,0,0,0,0,0
      326812201  2,10,2.0,8,3,1.0,16.0,0,0,0,0,0
      326813101  2,10,2.0,0,3,2.0,19.0,0,0,0,0,0
      326813301  2,10,2.0,7,3,1.0,14.0,0,0,0,0,0
      326900501  2,10,2.0,11,3,1.0,28.0,0,0,0,0,0
      326900701  3,10,2.0,8,3,1.0,,0,0,0,0,0
      326901801  2,10,2.0,12,3,2.0,21.0,0,0,0,0,0
      326903101  2,10,2.0,16,2,1.0,,0,0,0,0,0
      326903401  2,10,2.0,11,4,2.0,18.0,0,0,0,0,0
      326903401  3,10,2.0,9,4,2.0,,0,0,0,0,0
      326904101  2,10,2.0,6,4,1.0,19.0,0,0,0,0,0
      326904201  2,10,2.0,13,4,1.0,20.0,1,0,0,0,1
      326905501  2,10,2.0,4,3,1.0,18.0,0,0,0,0,0
      327001401  2,10,2.0,3,5,1.0,16.0,1,1,0,0,2
      327001401  3,10,2.0,7,5,1.0,,0,0,0,0,0
      327004101  1,10,2.0,9,2,1.0,21.0,0,0,0,0,0
      327004801  2,10,2.0,11,3,1.0,21.0,0,1,0,0,1
      327004801  3,10,2.0,6,3,1.0,,0,0,0,0,0
      327005501  2,10,2.0,11,4,2.0,22.0,0,1,0,0,1
      327005501  3,10,2.0,9,4,2.0,,0,0,0,0,0
      327006401  2,10,2.0,10,2,1.0,,0,0,0,0,0
      327100201  2,10,2.0,11,5,1.0,18.0,0,0,0,0,0
      327100701  3,10,2.0,2,5,1.0,19.0,0,0,0,0,0
      327102601  1,10,2.0,11,4,1.0,18.0,0,0,0,0,0
      327102601  3,10,2.0,14,4,1.0,17.0,1,1,0,0,2
      327102901  1,10,2.0,10,3,1.0,24.0,0,0,0,0,0
      327103101  4,10,2.0,11,6,2.0,17.0,1,0,0,0,1
      327105901  3,10,2.0,7,4,1.0,,0,0,0,0,0
      327106901  2,10,2.0,6,4,1.0,24.0,0,0,0,0,0
