caseid,lengua_materna,tipo_residencia,educacion_anios_simples,miembros_hogar,indice_de_riqueza,edad_primer_nacimiento,d104,d106,d107,d108,indice_violencia
      344508201  1,1,2.0,1,2,1.0,24.0,0,0,0,0,0
      344601801  2,10,2.0,8,5,1.0,16.0,0,0,0,0,0
      344601901  2,1,2.0,3,3,1.0,16.0,1,1,1,1,4
      344602001  2,10,2.0,1,10,1.0,16.0,0,0,0,0,0
      344602001  3,10,2.0,11,10,1.0,,0,0,0,0,0
      344602001  4,10,2.0,9,10,1.0,,0,0,0,0,0
      344602001  5,10,2.0,7,10,1.0,,0,0,0,0,0
      344602001  6,10,2.0,6,10,1.0,,0,0,0,0,0
      344602001  8,10,2.0,11,10,1.0,16.0,0,0,0,0,0
      344602101  1,10,2.0,1,2,1.0,16.0,0,0,0,0,0
      344604701  2,10,2.0,9,5,1.0,14.0,0,0,0,0,0
      344604801  2,10,2.0,11,4,1.0,,0,0,0,0,0
      344604801  4,10,2.0,9,4,1.0,,0,0,0,0,0
      344604901  3,10,2.0,14,6,1.0,,0,0,0,0,0
      344604901  4,10,2.0,14,6,1.0,18.0,0,0,0,0,0
      344606701  4,10,2.0,14,4,1.0,,0,0,0,0,0
      344608101  2,10,2.0,9,5,1.0,17.0,0,0,0,0,0
      344608101  3,10,2.0,9,5,1.0,,0,0,0,0,0
      344608701  2,10,2.0,10,3,1.0,26.0,0,0,0,0,0
      344700301  2,10,2.0,10,6,1.0,16.0,0,0,0,0,0
      344700301  5,10,2.0,3,6,1.0,14.0,0,0,0,0,0
      344701301  2,10,2.0,9,4,1.0,16.0,0,0,0,0,0
      344701401  2,10,2.0,7,3,1.0,19.0,0,0,0,0,0
      344702701  1,10,2.0,14,5,2.0,24.0,0,0,0,0,0
      344702701  4,10,2.0,5,5,2.0,17.0,0,0,0,0,0
      344702701  5,10,2.0,6,5,2.0,,0,0,0,0,0
      344702901  1,10,2.0,6,8,1.0,16.0,0,0,0,0,0
      344702901  8,10,2.0,11,8,1.0,,0,0,0,0,0
      344703001  2,10,2.0,8,2,1.0,,0,0,0,0,0
      344705601  1,9,2.0,8,8,1.0,15.0,0,0,0,0,0
      344705601  5,9,2.0,10,8,1.0,16.0,0,0,0,0,0
      344705601  7,9,2.0,11,8,1.0,15.0,0,0,0,0,0
      344705701  2,10,2.0,11,4,1.0,15.0,0,0,0,0,0
      344705801  1,10,2.0,2,1,1.0,15.0,1,1,0,0,2
      344705901  2,9,2.0,5,4,1.0,15.0,0,0,0,0,0
      344800801  1,10,2.0,11,2,1.0,20.0,1,0,0,0,1
      344801501  1,10,2.0,11,4,1.0,25.0,0,0,0,0,0
      344802701  2,1,2.0,6,5,1.0,23.0,0,0,0,0,0
      344802701  3,10,2.0,10,5,1.0,,0,0,0,0,0
      344802701  4,10,2.0,6,5,1.0,,0,0,0,0,0
      344804101  2,10,2.0,11,4,1.0,16.0,0,0,0,0,0
      344804401  1,10,2.0,14,1,1.0,,0,0,0,0,0
      344805601  2,1,2.0,11,4,1.0,20.0,0,0,0,0,0
      344807501  3,10,2.0,14,3,1.0,,0,0,0,0,0
      344900501  1,10,1.0,11,4,3.0,20.0,0,1,0,0,1
      344900501  3,10,1.0,10,4,3.0,,0,0,0,0,0
      344901401  2,10,1.0,13,4,5.0,21.0,0,0,0,0,0
      344903101  1,10,1.0,16,8,2.0,22.0,1,0,0,0,1
      344903101  6,10,1.0,12,8,2.0,18.0,0,0,0,0,0
      344906301  3,10,1.0,16,4,4.0,22.0,0,0,0,0,0
      344910501  1,10,1.0,11,2,3.0,20.0,0,0,0,0,0
      344911401  2,10,1.0,14,2,4.0,,0,0,0,0,0
      344914001  2,10,1.0,16,4,2.0,29.0,0,0,0,0,0
      345001901  1,10,1.0,16,4,4.0,22.0,0,0,0,0,0
      345009901  2,10,1.0,16,5,5.0,18.0,0,0,0,0,0
      345010701  4,10,1.0,16,4,5.0,,0,0,0,0,0
      345011001  3,10,1.0,16,10,5.0,21.0,0,0,0,0,0
      345101901  7,10,1.0,13,10,5.0,20.0,0,0,0,0,0
      345103901  1,10,1.0,16,3,5.0,21.0,0,0,0,0,0
      345103901  3,10,1.0,8,3,5.0,,0,0,0,0,0
      345104801  1,10,1.0,11,4,1.0,19.0,0,0,0,0,0
      345105701  2,10,1.0,16,4,2.0,18.0,1,0,0,0,1
      345106201  2,10,1.0,15,5,2.0,27.0,0,0,0,0,0
      345106201  5,10,1.0,16,5,2.0,,0,0,0,0,0
      345107901  2,10,1.0,11,4,2.0,17.0,0,0,0,0,0
      345108401  3,10,1.0,12,6,4.0,,0,0,0,0,0
      345108401  4,10,1.0,14,6,4.0,19.0,0,0,0,0,0
      345110101  2,10,1.0,11,3,3.0,20.0,0,0,0,0,0
      345200401  1,10,1.0,18,3,5.0,28.0,0,0,0,0,0
      345200601  2,10,1.0,14,4,5.0,37.0,0,0,0,0,0
      345204501  2,10,1.0,16,4,5.0,27.0,1,1,0,0,2
      345204501  4,10,1.0,12,4,5.0,,0,0,0,0,0
      345206501  2,10,1.0,16,3,5.0,18.0,0,0,0,0,0
      345208701  2,10,1.0,8,6,4.0,15.0,0,0,0,0,0
      345209601  1,10,1.0,16,4,4.0,22.0,0,0,0,0,0
      345209601  2,10,1.0,15,4,4.0,,0,0,0,0,0
      345209601  3,10,1.0,11,4,4.0,,0,0,0,0,0
      345210001  2,10,1.0,14,3,5.0,15.0,0,0,0,0,0
      345210601  4,10,1.0,11,10,5.0,,0,0,0,0,0
      345210601  9,10,1.0,16,10,5.0,23.0,0,0,0,0,0
      345211501  3,10,1.0,11,4,3.0,,0,0,0,0,0
      345300201  2,10,1.0,14,5,4.0,19.0,0,0,0,0,0
      345300701  3,10,1.0,7,3,4.0,,0,0,0,0,0
      345301401  2,10,1.0,12,4,3.0,18.0,0,0,0,0,0
      345304801  3,10,1.0,16,8,5.0,,0,0,0,0,0
      345304801  5,10,1.0,13,8,5.0,18.0,0,0,0,0,0
      345304801  6,10,1.0,9,8,5.0,,0,0,0,0,0
      345305701  2,10,1.0,11,5,5.0,19.0,0,0,0,0,0
      345305701  3,10,1.0,15,5,5.0,,0,0,0,0,0
      345306401  1,10,1.0,11,7,5.0,21.0,0,0,0,0,0
      345306401  2,10,1.0,16,7,5.0,,0,0,0,0,0
      345306401  3,10,1.0,16,7,5.0,19.0,0,0,0,0,0
      345306401  6,10,1.0,18,7,5.0,30.0,0,1,0,0,1
      345308601  2,10,1.0,14,4,4.0,25.0,0,0,0,0,0
      345309201  2,10,1.0,15,6,3.0,20.0,0,0,0,0,0
      345309201  6,10,1.0,15,6,3.0,,0,0,0,0,0
      345309601  1,10,1.0,14,3,3.0,28.0,1,1,0,0,2
      345400401  5,10,1.0,11,6,3.0,21.0,0,0,0,0,0
      345405701  1,10,1.0,11,6,4.0,18.0,0,0,0,0,0
      345405701  4,10,1.0,11,6,4.0,,0,0,0,0,0
      345405701  5,10,1.0,8,6,4.0,,0,0,0,0,0
      345407601  2,10,1.0,11,7,4.0,21.0,0,0,0,0,0
      345407601  4,10,1.0,10,7,4.0,,0,0,0,0,0
      345411701  2,10,1.0,9,4,3.0,18.0,0,0,0,0,0
      345411702  2,10,1.0,9,5,3.0,16.0,0,0,0,0,0
      345412601  2,10,1.0,11,4,4.0,18.0,0,0,0,0,0
      345413601  2,10,1.0,16,5,4.0,24.0,0,0,0,0,0
      345414101  2,10,1.0,8,4,2.0,28.0,0,0,0,0,0
      345414101  3,10,1.0,11,4,2.0,,0,0,0,0,0
      345416101  4,10,1.0,16,11,3.0,34.0,0,0,0,0,0
      345416702  2,10,1.0,11,5,3.0,21.0,0,0,0,0,0
      345416702  3,10,1.0,8,5,3.0,,0,0,0,0,0
      345416702  4,10,1.0,11,5,3.0,15.0,0,0,0,0,0
      345502501  2,10,1.0,12,5,5.0,23.0,1,1,1,0,3
      345502501  4,10,1.0,11,5,5.0,,0,0,0,0,0
      345502601  2,10,1.0,16,6,4.0,20.0,0,0,0,0,0
      345502601  6,10,1.0,7,6,4.0,,0,0,0,0,0
      345505301  2,10,1.0,18,4,5.0,32.0,1,1,0,0,2
      345506501  2,10,1.0,10,4,4.0,18.0,1,0,0,0,1
      345506501  3,10,1.0,9,4,4.0,,0,0,0,0,0
      345506601  3,10,1.0,16,3,5.0,,0,0,0,0,0
      345506801  4,10,1.0,11,7,4.0,23.0,1,0,0,0,1
      345600501  1,10,1.0,11,3,1.0,16.0,0,0,0,0,0
      345602101  2,10,1.0,7,6,5.0,16.0,1,1,1,0,3
      345602101  6,10,1.0,10,6,5.0,,0,0,0,0,0
      345604101  2,10,1.0,11,3,2.0,26.0,0,0,0,0,0
      345607401  2,10,1.0,11,4,5.0,19.0,0,0,0,0,0
      345607401  3,10,1.0,8,4,5.0,,0,0,0,0,0
      345608701  2,10,1.0,9,7,4.0,16.0,0,0,0,0,0
      345608701  6,10,1.0,13,7,4.0,,0,0,0,0,0
      345608701  7,10,1.0,9,7,4.0,,0,0,0,0,0
      345610001  3,10,1.0,16,3,3.0,,0,0,0,0,0
      345702001  3,10,1.0,14,8,4.0,,0,0,0,0,0
      345702001  4,10,1.0,16,8,4.0,21.0,0,0,0,0,0
      345702001  6,10,1.0,7,8,4.0,,0,0,0,0,0
      345703101  5,10,1.0,11,8,4.0,25.0,0,0,0,0,0
      345706301  2,10,1.0,11,5,2.0,16.0,0,0,0,0,0
      345709801  2,10,1.0,14,7,4.0,22.0,1,1,0,1,3
      345709801  3,10,1.0,11,7,4.0,,0,0,0,0,0
      345709801  6,10,1.0,11,7,4.0,18.0,0,0,0,0,0
      345710501  3,10,1.0,11,3,3.0,,0,0,0,0,0
      345710801  2,10,1.0,11,6,4.0,22.0,0,0,0,0,0
      345710801  4,10,1.0,11,6,4.0,,0,0,0,0,0
      345710801  5,10,1.0,7,6,4.0,,0,0,0,0,0
      345712901  1,10,1.0,11,2,3.0,18.0,0,0,0,0,0
      345715501  2,10,1.0,11,5,3.0,17.0,0,1,0,0,1
      345803001  3,10,1.0,12,6,4.0,18.0,0,0,0,0,0
      345805401  1,10,1.0,14,3,3.0,24.0,0,1,0,0,1
      345805402  1,10,1.0,10,2,3.0,19.0,0,0,0,0,0
      345807201  6,10,1.0,7,7,5.0,,0,0,0,0,0
      345807201  7,10,1.0,7,7,5.0,,0,0,0,0,0
      345808301  3,10,1.0,11,6,4.0,20.0,0,0,0,0,0
      345810301  2,10,1.0,11,4,4.0,19.0,0,0,0,0,0
      345812001  2,10,1.0,12,3,4.0,,0,0,0,0,0
      345901301  2,10,1.0,12,4,4.0,19.0,0,0,0,0,0
      345903701  2,10,1.0,11,6,3.0,22.0,1,0,0,0,1
      345903701  4,10,1.0,8,6,3.0,,0,0,0,0,0
      345907501  2,10,1.0,11,3,5.0,19.0,0,0,0,0,0
      345907501  3,10,1.0,16,3,5.0,,0,0,0,0,0
      345911601  2,10,1.0,15,5,4.0,23.0,0,0,0,0,0
      345916501  1,10,1.0,11,3,3.0,18.0,0,0,0,0,0
      345916801  2,10,1.0,16,5,5.0,24.0,0,0,0,0,0
      345916801  3,10,1.0,10,5,5.0,,0,0,0,0,0
      345921101  2,10,1.0,16,3,3.0,26.0,0,0,0,0,0
      345922401  3,10,1.0,16,5,4.0,25.0,0,1,0,0,1
      346003301  2,10,1.0,6,4,3.0,15.0,0,0,0,0,0
      346008101  2,10,1.0,11,4,3.0,17.0,0,0,0,0,0
      346012801  1,10,1.0,11,2,3.0,39.0,0,0,0,0,0
      346013001  3,10,1.0,11,7,3.0,21.0,0,0,0,0,0
      346013001  6,10,1.0,9,7,3.0,15.0,1,1,0,0,2
      346013601  1,10,1.0,14,3,4.0,28.0,1,1,0,0,2
      346015101  2,10,1.0,11,5,1.0,19.0,0,0,0,0,0
      346101901  1,10,1.0,13,3,3.0,26.0,1,0,0,1,2
      346104001  2,1,1.0,9,5,3.0,16.0,0,0,0,0,0
      346104001  4,1,1.0,1,5,3.0,20.0,0,1,1,1,3
      346104801  2,10,1.0,13,4,3.0,19.0,0,0,0,0,0
      346108201  2,10,1.0,13,3,4.0,,0,0,0,0,0
      346108901  1,10,1.0,14,3,3.0,26.0,0,0,0,0,0
      346111401  2,10,1.0,11,5,4.0,15.0,0,0,0,0,0
      346111401  3,10,1.0,10,5,4.0,21.0,0,0,0,0,0
      346112301  2,10,1.0,11,6,2.0,17.0,0,0,0,0,0
      346114001  2,10,1.0,11,6,2.0,20.0,0,0,0,0,0
      346114001  3,10,1.0,9,6,2.0,,0,0,0,0,0
      346200401  2,1,1.0,8,5,1.0,21.0,0,0,0,0,0
      346200901  1,10,1.0,11,3,2.0,22.0,1,1,0,0,2
      346201401  1,10,1.0,9,5,2.0,15.0,0,0,0,0,0
      346202301  2,10,1.0,9,6,2.0,18.0,0,0,0,0,0
      346202301  3,10,1.0,13,6,2.0,,0,0,0,0,0
      346202301  4,10,1.0,12,6,2.0,,0,0,0,0,0
      346203201  2,1,1.0,11,4,2.0,21.0,0,0,0,0,0
      346203801  1,10,1.0,11,4,2.0,22.0,1,1,0,0,2
      346203801  3,10,1.0,8,4,2.0,,0,0,0,0,0
      346204701  2,1,1.0,16,3,2.0,26.0,0,1,0,0,1
      346205101  2,10,1.0,11,4,2.0,19.0,1,1,0,0,2
      346205301  1,1,1.0,10,1,2.0,18.0,1,1,1,0,3
      346205501  1,10,1.0,11,4,2.0,19.0,1,0,0,0,1
      346205501  3,10,1.0,7,4,2.0,,0,0,0,0,0
      346301301  1,10,1.0,6,1,1.0,,0,0,0,0,0
      346301601  1,10,1.0,16,3,1.0,22.0,0,0,0,0,0
      346301701  1,1,1.0,14,2,2.0,28.0,0,0,0,0,0
      346302401  1,10,1.0,10,4,1.0,16.0,1,1,0,0,2
      346302501  2,1,1.0,8,4,1.0,17.0,0,0,0,0,0
      346302601  2,1,1.0,10,4,1.0,22.0,1,0,0,0,1
      346305001  2,10,1.0,9,3,2.0,21.0,0,0,0,0,0
      346305101  1,1,1.0,7,6,1.0,19.0,0,0,0,0,0
      346305101  3,10,1.0,11,6,1.0,16.0,0,0,0,0,0
      346305301  2,10,1.0,16,3,2.0,24.0,0,1,0,0,1
      346401001  1,10,1.0,17,5,5.0,21.0,0,0,0,0,0
      346401701  2,10,1.0,14,5,3.0,19.0,0,0,0,0,0
      346401701  5,10,1.0,8,5,3.0,,0,0,0,0,0
      346402101  3,10,1.0,13,6,3.0,19.0,0,0,0,0,0
      346403601  3,10,1.0,11,4,4.0,,0,0,0,0,0
      346404001  1,10,1.0,12,7,4.0,18.0,0,0,0,0,0
      346407401  2,10,1.0,8,3,5.0,15.0,0,0,0,0,0
      346407401  3,10,1.0,14,3,5.0,,0,0,0,0,0
      346410401  3,10,1.0,16,5,3.0,,0,0,0,0,0
      346410901  2,10,1.0,11,5,4.0,18.0,0,0,0,0,0
      346500901  1,10,1.0,16,4,5.0,22.0,0,0,0,0,0
      346500901  3,10,1.0,9,4,5.0,,0,0,0,0,0
      346501001  2,10,1.0,14,3,4.0,25.0,0,0,0,0,0
      346501801  2,10,1.0,11,3,4.0,19.0,0,1,0,0,1
      346503101  2,10,1.0,6,11,3.0,18.0,0,0,0,0,0
      346503101  6,10,1.0,1,11,3.0,17.0,0,0,0,0,0
      346503702  2,10,1.0,11,3,3.0,21.0,1,1,0,0,2
      346505101  1,10,1.0,11,4,3.0,41.0,0,0,0,0,0
      346506101  2,10,1.0,11,4,4.0,21.0,0,0,0,0,0
      346506301  2,10,1.0,12,5,5.0,21.0,0,0,0,0,0
      346506301  4,10,1.0,10,5,5.0,,0,0,0,0,0
      346506501  3,10,1.0,11,4,3.0,23.0,0,0,0,0,0
      346601001  2,10,1.0,14,3,5.0,24.0,0,0,0,0,0
      346602901  1,10,1.0,11,3,4.0,24.0,0,0,0,0,0
      346604301  1,10,1.0,7,4,3.0,27.0,1,0,0,0,1
      346605501  2,10,1.0,6,4,3.0,17.0,0,0,0,0,0
      346605701  2,10,1.0,11,5,2.0,15.0,0,0,0,0,0
      346612601  3,10,1.0,11,4,3.0,20.0,1,0,0,0,1
      346612901  2,10,1.0,10,4,4.0,17.0,0,0,0,0,0
      346612901  3,10,1.0,9,4,4.0,,0,0,0,0,0
      346613601  3,10,1.0,12,7,3.0,,0,0,0,0,0
      346613601  4,10,1.0,12,7,3.0,16.0,1,1,0,0,2
      346700501  1,10,1.0,14,4,4.0,19.0,0,0,0,0,0
      346701101  2,10,1.0,14,4,3.0,18.0,1,1,0,1,3
      346701301  1,10,1.0,11,3,4.0,20.0,0,0,0,0,0
      346701301  2,10,1.0,11,3,4.0,20.0,0,0,0,0,0
      346703401  2,10,1.0,16,3,4.0,35.0,0,0,0,0,0
      346703901  2,10,1.0,10,3,3.0,,0,0,0,0,0
      346704801  2,10,1.0,13,4,4.0,19.0,0,0,0,0,0
      346706801  2,10,1.0,16,2,3.0,,0,0,0,0,0
      346709001  1,10,1.0,16,6,4.0,15.0,0,0,0,0,0
      346709001  2,10,1.0,14,6,4.0,,0,0,0,0,0
      346709001  4,10,1.0,14,6,4.0,21.0,0,0,0,0,0
      346800701  1,10,2.0,3,5,1.0,15.0,0,0,0,0,0
      346800801  2,10,2.0,11,4,1.0,17.0,1,1,0,0,2
      346801001  2,1,2.0,4,3,1.0,17.0,1,0,0,0,1
      346802701  2,10,2.0,11,3,1.0,22.0,0,0,0,0,0
      346802701  3,10,2.0,6,3,1.0,,0,0,0,0,0
      346802801  2,10,2.0,9,7,1.0,16.0,0,0,0,0,0
      346803401  1,10,2.0,7,4,1.0,18.0,0,0,0,0,0
      346803401  2,10,2.0,10,4,1.0,,0,0,0,0,0
      346900101  2,10,2.0,11,3,2.0,20.0,0,1,0,0,1
      346900301  1,1,2.0,11,5,2.0,18.0,1,1,1,1,4
      346900301  3,1,2.0,8,5,2.0,,0,0,0,0,0
      346900401  1,1,2.0,6,4,1.0,22.0,0,0,0,0,0
      346900401  4,1,2.0,6,4,1.0,,0,0,0,0,0
      346900501  4,10,2.0,16,5,4.0,,0,0,0,0,0
      346900501  5,10,2.0,11,5,4.0,,0,0,0,0,0
      346901801  2,10,2.0,11,3,2.0,18.0,0,0,0,0,0
      346902401  5,10,2.0,11,5,3.0,26.0,0,0,0,0,0
      346902501  2,10,2.0,13,2,3.0,,0,0,0,0,0
      346902701  2,10,2.0,14,5,2.0,17.0,0,0,0,0,0
      346908201  1,10,2.0,11,3,2.0,21.0,0,0,0,0,0
      346908601  2,10,2.0,11,4,4.0,18.0,0,0,0,0,0
      346908801  2,10,2.0,14,4,4.0,26.0,1,0,0,0,1
      346908901  2,10,2.0,12,4,3.0,22.0,0,0,0,0,0
      347001501  3,10,1.0,16,6,4.0,19.0,0,0,0,0,0
      347003801  2,1,1.0,11,5,5.0,17.0,1,1,0,0,2
      347003901  2,10,1.0,14,5,4.0,24.0,0,1,0,0,1
      347003901  4,10,1.0,10,5,4.0,,0,0,0,0,0
      347005601  2,10,1.0,16,6,5.0,17.0,0,0,0,0,0
      347005601  5,10,1.0,10,6,5.0,,0,0,0,0,0
      347006201  2,10,1.0,16,4,4.0,28.0,0,0,0,0,0
      347006301  2,10,1.0,14,4,5.0,26.0,0,0,0,0,0
      347009201  3,10,1.0,12,5,5.0,,0,0,0,0,0
      347009401  2,10,1.0,14,3,4.0,25.0,0,0,0,0,0
      347100601  4,10,1.0,14,8,4.0,23.0,0,0,0,0,0
      347100601  5,10,1.0,11,8,4.0,,0,0,0,0,0
      347101001  1,10,1.0,14,7,4.0,27.0,0,0,0,0,0
      347101001  6,10,1.0,14,7,4.0,23.0,1,1,1,1,4
      347101501  2,10,1.0,16,4,4.0,29.0,0,0,0,0,0
      347103501  1,10,1.0,11,3,1.0,21.0,0,0,0,0,0
      347104001  2,10,1.0,5,6,2.0,17.0,1,1,1,0,3
      347105401  2,10,1.0,16,3,4.0,26.0,0,0,0,0,0
      347109001  2,10,1.0,16,4,4.0,,0,0,0,0,0
      347112501  1,10,1.0,11,2,4.0,35.0,0,0,0,0,0
      347200101  1,1,1.0,13,2,3.0,21.0,1,1,1,0,3
      347201201  2,10,1.0,11,6,4.0,16.0,0,0,0,0,0
      347201201  6,10,1.0,8,6,4.0,,0,0,0,0,0
      347203801  2,10,1.0,14,5,4.0,22.0,0,0,0,0,0
      347203801  5,10,1.0,9,5,4.0,,0,0,0,0,0
      347205101  2,10,1.0,13,5,5.0,29.0,0,0,0,0,0
      347205101  3,10,1.0,10,5,5.0,,0,0,0,0,0
      347205101  4,10,1.0,14,5,5.0,39.0,1,0,0,1,2
      347208101  2,10,1.0,16,5,4.0,26.0,1,1,0,0,2
      347208401  1,10,1.0,11,3,2.0,35.0,0,0,0,0,0
      347209601  2,10,1.0,16,5,4.0,26.0,0,1,1,0,2
      347302401  4,10,1.0,11,5,3.0,19.0,0,0,0,0,0
      347302901  2,10,1.0,16,4,2.0,21.0,0,0,0,0,0
      347303401  2,10,1.0,16,3,4.0,28.0,0,1,0,0,1
      347309201  2,10,1.0,12,4,2.0,19.0,0,0,0,0,0
      347309701  2,10,1.0,14,6,4.0,23.0,1,1,0,0,2
      347309701  5,10,1.0,11,6,4.0,,0,0,0,0,0
      347312101  3,10,1.0,16,4,5.0,22.0,1,0,0,0,1
      347402701  1,10,1.0,8,2,2.0,16.0,0,0,0,0,0
      347405101  1,10,1.0,13,6,3.0,20.0,0,0,0,0,0
      347405101  3,10,1.0,9,6,3.0,,0,0,0,0,0
      347405101  4,10,1.0,11,6,3.0,19.0,0,0,0,0,0
      347405301  3,10,1.0,16,5,3.0,29.0,0,0,0,0,0
      347406201  2,1,1.0,14,2,2.0,,0,0,0,0,0
      347406901  2,10,1.0,12,3,4.0,,0,0,0,0,0
      347503101  2,1,1.0,13,3,3.0,26.0,0,0,0,0,0
      347503601  2,1,1.0,9,3,2.0,15.0,0,0,0,0,0
      347504701  2,10,1.0,11,6,2.0,17.0,0,0,0,0,0
      347504701  6,10,1.0,11,6,2.0,,0,0,0,0,0
      347505401  4,10,1.0,14,4,5.0,,0,0,0,0,0
      347507601  3,10,1.0,11,3,4.0,,0,0,0,0,0
      347508601  2,1,1.0,14,3,3.0,27.0,0,0,0,0,0
      347602101  2,1,1.0,16,3,3.0,30.0,0,0,0,0,0
      347602601  2,10,1.0,14,3,3.0,24.0,0,0,0,0,0
      347603501  1,10,1.0,11,2,1.0,17.0,1,1,0,0,2
      347605001  1,10,1.0,16,4,2.0,21.0,0,0,1,0,1
      347606201  2,10,1.0,4,6,3.0,23.0,0,0,0,0,0
      347606201  5,10,1.0,12,6,3.0,18.0,0,0,0,0,0
      347607701  2,10,1.0,6,5,1.0,26.0,0,0,0,0,0
      347607701  3,10,1.0,7,5,1.0,,0,0,0,0,0
      347609601  2,10,1.0,14,4,2.0,25.0,0,0,0,0,0
      347700801  2,10,1.0,14,4,3.0,25.0,1,0,0,0,1
      347701601  2,10,1.0,16,4,4.0,,0,0,0,0,0
      347701601  3,10,1.0,12,4,4.0,25.0,1,1,0,0,2
      347701901  1,10,1.0,12,3,1.0,31.0,1,0,0,0,1
      347702401  1,10,1.0,16,2,2.0,30.0,1,0,0,0,1
      347706901  2,10,1.0,14,4,4.0,20.0,0,0,0,0,0
      347708201  2,10,1.0,2,5,1.0,16.0,0,0,0,0,0
      347708201  5,10,1.0,9,5,1.0,,0,0,0,0,0
      347711901  2,10,1.0,14,4,2.0,17.0,0,0,0,0,0
      347801101  2,10,1.0,11,4,3.0,17.0,0,0,0,0,0
      347802401  2,10,1.0,11,4,2.0,,0,0,0,0,0
      347802401  3,10,1.0,11,4,2.0,,1,0,0,0,1
      347803501  2,10,1.0,11,3,1.0,14.0,0,0,0,0,0
      347807401  2,1,1.0,3,4,2.0,32.0,1,1,0,0,2
      347807601  4,10,1.0,14,5,4.0,21.0,0,0,0,0,0
      347810201  2,10,1.0,11,4,2.0,19.0,1,1,0,0,2
      347900801  4,10,1.0,13,5,4.0,26.0,0,0,0,0,0
      347901001  3,10,1.0,16,9,3.0,,0,0,0,0,0
      347901001  4,10,1.0,11,9,3.0,20.0,1,1,0,0,2
      347907501  1,10,1.0,6,3,2.0,19.0,0,0,0,0,0
      347908001  2,10,1.0,6,6,2.0,16.0,0,1,0,0,1
      347908401  2,1,1.0,12,4,2.0,19.0,0,0,0,0,0
      347913201  1,10,1.0,11,3,1.0,21.0,1,0,0,0,1
      347914501  1,10,1.0,16,4,2.0,24.0,0,1,0,0,1
      347914501  3,10,1.0,7,4,2.0,,0,0,0,0,0
      347916001  1,10,1.0,4,3,2.0,18.0,1,1,0,0,2
      347917601  1,10,1.0,5,5,2.0,15.0,0,0,0,0,0
      347917601  3,10,1.0,10,5,2.0,,0,0,0,0,0
      347917601  4,10,1.0,8,5,2.0,,0,0,0,0,0
      348000701  2,1,1.0,8,4,2.0,19.0,1,0,0,0,1
      348000701  3,1,1.0,14,4,2.0,,0,0,0,0,0
      348001501  1,10,1.0,14,3,2.0,17.0,0,0,0,0,0
      348002501  1,10,1.0,4,6,3.0,16.0,0,0,0,0,0
      348002501  2,10,1.0,8,6,3.0,,0,0,0,0,0
      348002501  4,10,1.0,2,6,3.0,,0,0,0,0,0
      348004001  1,10,1.0,9,5,4.0,17.0,0,0,0,0,0
      348005201  1,10,1.0,13,1,3.0,,0,0,0,0,0
      348006601  2,10,1.0,16,2,4.0,,0,0,0,0,0
      348007801  2,10,1.0,11,6,2.0,,0,0,0,0,0
      348007801  3,10,1.0,14,6,2.0,21.0,0,0,0,0,0
      348009301  1,10,1.0,11,3,2.0,22.0,0,0,0,0,0
      348010201  6,10,1.0,9,8,2.0,16.0,1,1,0,0,2
      348011001  1,10,1.0,13,5,1.0,19.0,0,1,0,0,1
      348101101  1,10,1.0,16,3,2.0,25.0,0,0,0,0,0
      348104301  1,10,1.0,6,6,2.0,16.0,1,1,0,0,2
      348104601  1,10,1.0,8,3,3.0,17.0,1,0,0,0,1
      348104601  3,10,1.0,7,3,3.0,,0,0,0,0,0
      348107001  2,10,1.0,11,5,2.0,19.0,0,0,0,0,0
      348107001  3,10,1.0,7,5,2.0,,0,0,0,0,0
      348108301  1,10,1.0,14,2,3.0,,0,0,0,0,0
      348108301  2,10,1.0,12,2,3.0,15.0,0,0,0,0,0
      348109801  3,3,1.0,16,4,2.0,24.0,1,0,0,0,1
      348111901  1,10,1.0,9,4,2.0,21.0,0,0,0,0,0
      348202101  2,10,1.0,11,3,2.0,20.0,0,0,0,0,0
      348202301  2,10,1.0,9,4,2.0,17.0,0,0,0,0,0
      348203801  1,10,1.0,11,4,3.0,22.0,0,0,0,0,0
      348204401  2,10,1.0,12,4,3.0,27.0,0,0,0,0,0
      348204801  1,10,1.0,9,4,3.0,19.0,0,0,0,0,0
      348205601  2,10,1.0,11,5,1.0,17.0,0,0,0,0,0
      348210901  2,10,1.0,11,3,2.0,23.0,1,1,0,0,2
      348213201  2,1,1.0,6,4,2.0,17.0,1,1,1,0,3
      348214101  2,10,1.0,11,7,3.0,17.0,0,0,0,0,0
      348214101  3,10,1.0,11,7,3.0,,0,0,0,0,0
      348214101  5,10,1.0,11,7,3.0,,0,0,0,0,0
      348214101  6,10,1.0,6,7,3.0,,0,0,0,0,0
      348304001  2,10,1.0,3,5,2.0,24.0,0,0,0,0,0
      348304701  2,1,1.0,4,6,3.0,19.0,1,0,0,0,1
      348304701  3,1,1.0,14,6,3.0,,0,0,0,0,0
      348305701  2,10,1.0,11,7,2.0,19.0,0,1,0,0,1
      348305701  6,10,1.0,13,7,2.0,,0,0,0,0,0
      348305801  2,10,1.0,11,6,2.0,21.0,0,0,0,0,0
      348305801  3,10,1.0,11,6,2.0,,0,0,0,0,0
      348306701  1,10,1.0,6,6,2.0,19.0,1,1,1,1,4
      348306701  2,10,1.0,10,6,2.0,,0,0,0,0,0
